Id,Label,timeset,bio,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,stat_inf_class,clustering,triangles,eigencentrality
61,Hedwig,,Harry's owl.,9,0,534,2,0.542056,0.577586,0.181818,0.077438,0.077439,0.010032,0,8,0.944444,34,0.288628
8,Fleur Delacour,,Participated in the Triwizard tournament and married Bill Weasley.,14,1,1139,2,0.568627,0.62069,2.390945,0.100569,0.10057,0.014291,0,13,0.802198,73,0.374426
16,Seamus Finnigan,,Harry's friend and member of Dumbledore's army.,10,0,787,2,0.54717,0.586207,0.211111,0.08703,0.087032,0.010752,0,7,0.955556,43,0.323481
46,Rita Skeeter,,Reporter at the Daily Prophet.,9,0,929,2,0.542056,0.577586,0.308333,0.077037,0.077039,0.010023,0,16,0.916667,33,0.287304
2,Lavender Brown,,Killed by a werewolf. She was a gryffindor student who dated Ron.,10,0,1006,2,0.54717,0.586207,0.555988,0.08409,0.084091,0.010855,0,7,0.888889,40,0.312958
40,James Potter,,Father of Harry. Murdered by Voldemort.,13,0,819,2,0.563107,0.612069,0.696429,0.107542,0.107544,0.013279,0,15,0.923077,72,0.399773
25,Bellatrix Lestrange,,Death Eater who was killed by Molly Weasley.,12,0,699,2,0.557692,0.603448,0.181818,0.099837,0.099838,0.012365,0,10,0.969697,64,0.370717
33,Lucius Malfoy,,Father of Draco and influential Death-Eater.,12,0,674,2,0.557692,0.603448,0.183333,0.102993,0.102995,0.012374,0,18,0.969697,64,0.382897
23,Igor Karkaroff,,Highmaster of Durmstrang and reformed death-eater.,10,0,422,2,0.54717,0.586207,0.5,0.081899,0.081901,0.010985,0,13,0.911111,41,0.305597
43,Tom Riddle Sr.,,Muggle father of Voldemort who was killed by him.,8,0,479,2,0.537037,0.568966,0.125,0.06873,0.068731,0.009296,0,20,0.964286,27,0.256566
35,Olympe Maxime,,Half-giantess and headmistress of Beauxbatons.,9,0,463,2,0.542056,0.577586,0.125,0.06877,0.068771,0.010222,0,13,0.972222,35,0.257091
62,Moaning Myrtle,,Ghost at Hogwards.,5,0,455,2,0.522523,0.543103,0,0.049231,0.049232,0.006618,0,0,1,10,0.183379
42,Quirinus Quirrell,,Possessed by Voldemort. Defence against the Dark Arts professor.,7,0,243,2,0.53211,0.560345,0,0.068201,0.068203,0.008277,0,20,1,21,0.254197
38,Peter Pettigrew,,Betrays James and Lily Potter. Follower of Voldemort.,8,0,551,2,0.537037,0.568966,0.071429,0.067191,0.067192,0.009139,0,15,0.964286,27,0.250088
50,Arthur Weasley,,Father of the Weasleys and member of the Order of the Phoenix.,9,0,348,2,0.542056,0.577586,0.153846,0.076074,0.076075,0.009887,0,6,0.944444,34,0.282575
52,Charlie Weasley,,Second son of Arthur and Molly. Works with dragons in Romania.,8,1,356,2,0.537037,0.568966,0.066667,0.065963,0.065964,0.009136,0,2,0.964286,27,0.245618
64,Grawp,,Giant-half brother of Hagrid.,4,0,165,2,0.517857,0.534483,0,0.042772,0.042774,0.005833,0,0,1,6,0.159831
30,Xenophilius Lovegood,,Father of Luna and editor of The Quibbler.,4,0,418,2,0.517857,0.534483,0,0.037403,0.037404,0.005907,0,0,1,6,0.139901
60,Fluffy,,Three-headed dog belonging to Rubeus Hagrid.,6,0,195,2,0.527273,0.551724,0,0.061309,0.061311,0.007445,0,17,1,15,0.228601
49,Dolores Janes Umbridge,,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,7,0,164,2,0.53211,0.560345,0,0.064665,0.064667,0.008268,0,18,1,21,0.240806
63,Aragog,,Acromantula belonging to Rubeus Hagrid.,3,0,108,2,0.513274,0.525862,0,0.03193,0.031931,0.005021,0,0,1,3,0.11936
0,Regulus Arcturus Black,,Brother of Sirius. Used to be a Death Eater but defected.,5,0,109,2,0.522523,0.543103,0,0.049428,0.049429,0.006656,0,20,1,10,0.184425
27,Frank Longbottom,,Father of Neville who was tortured by Bellatrix.,3,0,64,2,0.513274,0.525862,0,0.021361,0.021361,0.005201,0,20,1,3,0.079966
56,Molly Weasley,,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,3,0,63,2,0.513274,0.525862,0,0.031693,0.031694,0.005012,0,0,1,3,0.118358
17,Nicolas Flamel,,Creator of the Philosopher's Stone.,4,0,129,2,0.517857,0.534483,0,0.043216,0.043217,0.005837,0,0,1,6,0.161509
37,"Alastor ""Mad-Eye"" Moody",,Retired auror and member of the order of the Phoenix. Killed by Voldemort.,2,0,24,2,0.508772,0.517241,0,0.021299,0.021299,0.004199,0,14,1,1,0.0796
